Lap Nr,Roi1,x,y,w,h,Roi2,x,y,w,h,Roi3,x,y,w,h
317,,0,0,408,294,,0,0,408,294,,0,0,408,294
318,,0,0,408,294,,0,0,408,294,,0,0,408,294
319,,0,0,408,294,,0,0,408,294,,0,0,408,294
320,,0,0,408,294,,0,0,408,294,,0,0,408,294
321,,0,0,408,294,,0,0,408,294,,0,0,408,294
322,,0,0,408,294,,0,0,408,294,,0,0,408,294
323,,0,0,408,294,,0,0,408,294,,0,0,408,294
324,,0,0,408,294,,0,0,408,294,,0,0,408,294
325,,0,0,408,294,,0,0,408,294,,0,0,408,294
326,,0,0,408,294,,0,0,408,294,,0,0,408,294
327,,0,0,408,294,,0,0,408,294,,0,0,408,294
328,,0,0,408,294,,0,0,408,294,,0,0,408,294
329,,0,0,408,294,,0,0,408,294,,0,0,408,294
330,,0,0,408,294,,0,0,408,294,,0,0,408,294
331,,0,0,408,294,,0,0,408,294,,0,0,408,294
332,,0,0,408,294,,0,0,408,294,,0,0,408,294
333,,0,0,408,294,,0,0,408,294,,0,0,408,294
334,,0,0,408,294,,0,0,408,294,,0,0,408,294
335,,0,0,408,294,,0,0,408,294,,0,0,408,294
336,,0,0,408,294,,0,0,408,294,,0,0,408,294
337,,0,0,408,294,,0,0,408,294,,0,0,408,294
338,,0,0,408,294,,0,0,408,294,,0,0,408,294
339,,0,0,408,294,,0,0,408,294,,0,0,408,294
340,,0,0,408,294,,0,0,408,294,,0,0,408,294
341,,0,0,408,294,,0,0,408,294,,0,0,408,294
342,,0,0,408,294,,0,0,408,294,,0,0,408,294
343,,0,0,408,294,,0,0,408,294,,0,0,408,294
344,,0,0,408,294,,0,0,408,294,,0,0,408,294
345,,0,0,408,294,,0,0,408,294,,0,0,408,294
346,,0,0,408,294,,0,0,408,294,,0,0,408,294
347,,0,0,408,294,,0,0,408,294,,0,0,408,294
348,,0,0,408,294,,0,0,408,294,,0,0,408,294
349,,0,0,408,294,,0,0,408,294,,0,0,408,294
350,,0,0,408,294,,0,0,408,294,,0,0,408,294
351,,0,0,408,294,,0,0,408,294,,0,0,408,294
352,,0,0,408,294,,0,0,408,294,,0,0,408,294
353,,0,0,408,294,,0,0,408,294,,0,0,408,294
354,,0,0,408,294,,0,0,408,294,,0,0,408,294
355,,0,0,408,294,,0,0,408,294,,0,0,408,294
356,,0,0,408,294,,0,0,408,294,,0,0,408,294
357,,0,0,408,294,,0,0,408,294,,0,0,408,294
358,,0,0,408,294,,0,0,408,294,,0,0,408,294
359,,0,0,408,294,,0,0,408,294,,0,0,408,294
360,,0,0,408,294,,0,0,408,294,,0,0,408,294
361,,0,0,408,294,,0,0,408,294,,0,0,408,294
362,,0,0,408,294,,0,0,408,294,,0,0,408,294
363,,0,0,408,294,,0,0,408,294,,0,0,408,294
364,,0,0,408,294,,0,0,408,294,,0,0,408,294
365,,0,0,408,294,,0,0,408,294,,0,0,408,294
366,,0,0,408,294,,0,0,408,294,,0,0,408,294
367,,0,0,408,294,,0,0,408,294,,0,0,408,294
368,,0,0,408,294,,0,0,408,294,,0,0,408,294
369,,0,0,408,294,,0,0,408,294,,0,0,408,294
370,,0,0,408,294,,0,0,408,294,,0,0,408,294
371,,0,0,408,294,,0,0,408,294,,0,0,408,294
372,,0,0,408,294,,0,0,408,294,,0,0,408,294
373,,0,0,408,294,,0,0,408,294,,0,0,408,294
374,,0,0,408,294,,0,0,408,294,,0,0,408,294
375,,0,0,408,294,,0,0,408,294,,0,0,408,294
376,,0,0,408,294,,0,0,408,294,,0,0,408,294
377,,0,0,408,294,,0,0,408,294,,0,0,408,294
378,,0,0,408,294,,0,0,408,294,,0,0,408,294
379,,0,0,408,294,,0,0,408,294,,0,0,408,294
380,,0,0,408,294,,0,0,408,294,,0,0,408,294
381,,0,0,408,294,,0,0,408,294,,0,0,408,294
382,,0,0,408,294,,0,0,408,294,,0,0,408,294
383,,0,0,408,294,,0,0,408,294,,0,0,408,294
384,,0,0,408,294,,0,0,408,294,,0,0,408,294
385,,0,0,408,294,,0,0,408,294,,0,0,408,294
386,,0,0,408,294,,0,0,408,294,,0,0,408,294
387,,0,0,408,294,,0,0,408,294,,0,0,408,294
388,,0,0,408,294,,0,0,408,294,,0,0,408,294
389,,0,0,408,294,,0,0,408,294,,0,0,408,294
390,,0,0,408,294,,0,0,408,294,,0,0,408,294
391,,0,0,408,294,,0,0,408,294,,0,0,408,294
392,,0,0,408,294,,0,0,408,294,,0,0,408,294
393,,0,0,408,294,,0,0,408,294,,0,0,408,294
394,,0,0,408,294,,0,0,408,294,,0,0,408,294
395,,0,0,408,294,,0,0,408,294,,0,0,408,294
396,,0,0,408,294,,0,0,408,294,,0,0,408,294
397,,0,0,408,294,,0,0,408,294,,0,0,408,294
398,,0,0,408,294,,0,0,408,294,,0,0,408,294
399,,0,0,408,294,,0,0,408,294,,0,0,408,294
400,,0,0,408,294,,0,0,408,294,,0,0,408,294
401,,0,0,408,294,,0,0,408,294,,0,0,408,294
402,,0,0,408,294,,0,0,408,294,,0,0,408,294
403,,0,0,408,294,,0,0,408,294,,0,0,408,294
404,,0,0,408,294,,0,0,408,294,,0,0,408,294
405,,0,0,408,294,,0,0,408,294,,0,0,408,294
406,,0,0,408,294,,0,0,408,294,,0,0,408,294
407,,0,0,408,294,,0,0,408,294,,0,0,408,294
408,,0,0,408,294,,0,0,408,294,,0,0,408,294
409,,0,0,408,294,,0,0,408,294,,0,0,408,294
410,,0,0,408,294,,0,0,408,294,,0,0,408,294
411,,0,0,408,294,,0,0,408,294,,0,0,408,294
412,,0,0,408,294,,0,0,408,294,,0,0,408,294
413,,0,0,408,294,,0,0,408,294,,0,0,408,294
414,,0,0,408,294,,0,0,408,294,,0,0,408,294
415,,0,0,408,294,,0,0,408,294,,0,0,408,294
416,,0,0,408,294,,0,0,408,294,,0,0,408,294
417,,0,0,408,294,,0,0,408,294,,0,0,408,294
418,,0,0,408,294,,0,0,408,294,,0,0,408,294
419,,0,0,408,294,,0,0,408,294,,0,0,408,294
420,,0,0,408,294,,0,0,408,294,,0,0,408,294
421,,0,0,408,294,,0,0,408,294,,0,0,408,294
422,,0,0,408,294,,0,0,408,294,,0,0,408,294
423,,0,0,408,294,,0,0,408,294,,0,0,408,294
424,,0,0,408,294,,0,0,408,294,,0,0,408,294
425,,0,0,408,294,,0,0,408,294,,0,0,408,294
426,,0,0,408,294,,0,0,408,294,,0,0,408,294
427,,0,0,408,294,,0,0,408,294,,0,0,408,294
428,,0,0,408,294,,0,0,408,294,,0,0,408,294
429,,0,0,408,294,,0,0,408,294,,0,0,408,294
430,,0,0,408,294,,0,0,408,294,,0,0,408,294
431,,0,0,408,294,,0,0,408,294,,0,0,408,294
432,,0,0,408,294,,0,0,408,294,,0,0,408,294
433,,0,0,408,294,,0,0,408,294,,0,0,408,294
434,,0,0,408,294,,0,0,408,294,,0,0,408,294
435,,0,0,408,294,,0,0,408,294,,0,0,408,294
436,,0,0,408,294,,0,0,408,294,,0,0,408,294
437,,0,0,408,294,,0,0,408,294,,0,0,408,294
438,,0,0,408,294,,0,0,408,294,,0,0,408,294
439,,0,0,408,294,,0,0,408,294,,0,0,408,294
440,,0,0,408,294,,0,0,408,294,,0,0,408,294
441,,0,0,408,294,,0,0,408,294,,0,0,408,294
442,,0,0,408,294,,0,0,408,294,,0,0,408,294
443,,0,0,408,294,,0,0,408,294,,0,0,408,294
444,,0,0,408,294,,0,0,408,294,,0,0,408,294
445,,0,0,408,294,,0,0,408,294,,0,0,408,294
446,,0,0,408,294,,0,0,408,294,,0,0,408,294
447,,0,0,408,294,,0,0,408,294,,0,0,408,294
448,,0,0,408,294,,0,0,408,294,,0,0,408,294
449,,0,0,408,294,,0,0,408,294,,0,0,408,294
450,,0,0,408,294,,0,0,408,294,,0,0,408,294
451,,0,0,408,294,,0,0,408,294,,0,0,408,294
452,,0,0,408,294,,0,0,408,294,,0,0,408,294
453,,0,0,408,294,,0,0,408,294,,0,0,408,294
454,,0,0,408,294,,0,0,408,294,,0,0,408,294
455,,0,0,408,294,,0,0,408,294,,0,0,408,294
456,,0,0,408,294,,0,0,408,294,,0,0,408,294
457,,0,0,408,294,,0,0,408,294,,0,0,408,294
458,,0,0,408,294,,0,0,408,294,,0,0,408,294
459,,0,0,408,294,,0,0,408,294,,0,0,408,294
460,,0,0,408,294,,0,0,408,294,,0,0,408,294
461,,0,0,408,294,,0,0,408,294,,0,0,408,294
462,,0,0,408,294,,0,0,408,294,,0,0,408,294
463,,0,0,408,294,,0,0,408,294,,0,0,408,294
464,,0,0,408,294,,0,0,408,294,,0,0,408,294
465,,0,0,408,294,,0,0,408,294,,0,0,408,294
466,,0,0,408,294,,0,0,408,294,,0,0,408,294
467,,0,0,408,294,,0,0,408,294,,0,0,408,294
468,,0,0,408,294,,0,0,408,294,,0,0,408,294
469,,0,0,408,294,,0,0,408,294,,0,0,408,294
470,,0,0,408,294,,0,0,408,294,,0,0,408,294
471,,0,0,408,294,,0,0,408,294,,0,0,408,294
472,,0,0,408,294,,0,0,408,294,,0,0,408,294
473,,0,0,408,294,,0,0,408,294,,0,0,408,294
474,,0,0,408,294,,0,0,408,294,,0,0,408,294
475,,0,0,408,294,,0,0,408,294,,0,0,408,294
476,,0,0,408,294,,0,0,408,294,,0,0,408,294
