timestamp,actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5
4997.935000,0.248543,-0.141619,0.005360,-0.007307,0.005759,-0.001043
4997.937000,-0.227735,-0.112170,0.171706,-0.005390,0.000610,0.013356
4997.939000,-0.088245,-0.035523,-0.059941,-0.007701,0.002505,0.007561
4997.941000,0.087067,0.016417,-0.122994,-0.010657,0.006805,0.003517
4997.943000,0.286327,-0.081439,-0.140426,-0.008949,0.010055,0.002827
4997.945000,0.186448,-0.026631,-0.107297,-0.011186,0.009677,0.002255
4997.947000,-0.368070,-0.073207,0.036353,-0.006671,-0.000753,0.008920
4997.949000,-0.278122,-0.191613,0.148471,-0.003755,0.000908,0.008100
4997.951000,0.175217,-0.085819,-0.032460,-0.005550,0.003544,0.001039
4997.953000,0.401168,-0.161296,-0.039796,-0.006751,0.009907,-0.000297
4997.955000,-0.043235,-0.167768,0.033666,-0.003932,0.005055,0.009496
4997.957000,0.255117,-0.201074,-0.051225,-0.004891,0.012592,0.002605
4997.959000,-0.099996,-0.001251,0.134621,-0.008981,0.000358,0.009041
4997.961000,0.199477,-0.152288,-0.048548,-0.008236,0.006529,0.000284
4997.963000,-0.199999,-0.064301,-0.073457,-0.007788,-0.000481,0.013438
4997.965000,0.239916,0.058185,0.047069,-0.012659,0.006749,0.004586
4997.967000,0.037958,-0.053023,0.010320,-0.009113,0.004872,0.006236
4997.969000,-0.236718,-0.207533,0.066699,-0.004859,-0.002093,0.009194
4997.971000,-0.051972,-0.169890,-0.010672,-0.003006,0.005624,0.011234
4997.973000,0.288045,-0.078863,0.086553,-0.011021,0.004157,-0.002058
4997.977000,-0.223107,-0.031670,0.105190,-0.007692,-0.000147,0.010377
4997.979000,-0.380287,-0.056144,0.032901,-0.005730,-0.002492,0.014446
4997.981000,-0.227834,-0.063883,0.080709,-0.007377,0.000599,0.010025
4997.983000,0.254969,-0.175633,-0.087960,-0.004322,0.012720,0.007547
4997.985000,-0.013334,0.095265,-0.071367,-0.013497,0.003428,0.004979
4997.987000,-0.158087,-0.055609,0.098242,-0.009360,0.001738,0.004523
4997.989000,-0.095259,0.022932,-0.003874,-0.009253,0.004246,0.007935
4997.991000,0.204189,-0.059359,-0.097860,-0.009938,0.010435,0.008629
4997.993000,0.159904,0.058316,-0.189835,-0.012990,0.008007,0.004659
4997.995000,-0.177500,-0.182483,-0.026847,-0.005473,0.001539,0.006655
4997.997000,0.219548,-0.155315,-0.093279,-0.007344,0.006444,0.004923
4997.999000,0.387238,-0.071766,-0.092557,-0.007479,0.010530,0.001749
4998.001000,-0.371101,-0.287296,0.159477,0.001114,-0.002249,0.011911
4998.003000,0.339894,-0.224471,0.037068,-0.001947,0.011580,-0.000963
4998.005000,0.143395,0.104566,-0.026504,-0.013269,0.002547,0.003056
4998.007000,-0.244857,-0.036513,0.135534,-0.006244,-0.000208,0.009221
4998.009000,-0.300206,-0.026667,0.041505,-0.006232,-0.002780,0.010297
4998.011000,-0.069926,-0.078850,-0.117814,-0.007452,0.004407,0.008155
4998.013000,0.226942,-0.165646,-0.022701,-0.004847,0.008872,0.001577
4998.015000,-0.034813,-0.081329,0.020005,-0.009771,0.001536,0.002538
4998.017000,-0.199574,-0.096310,0.040654,-0.007886,0.000080,0.007364
