timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
15328.809000,-0.330799,-0.509647,-0.064435,-0.816601,-3.008507,-0.006706
15328.811000,-0.330770,-0.509646,-0.064464,-0.816559,-3.008565,-0.006751
15328.813000,-0.330753,-0.509631,-0.064462,-0.816514,-3.008551,-0.006841
15328.815000,-0.330779,-0.509667,-0.064446,-0.816491,-3.008529,-0.006688
15328.817000,-0.330762,-0.509656,-0.064452,-0.816438,-3.008564,-0.006781
15328.819000,-0.330762,-0.509656,-0.064452,-0.816438,-3.008564,-0.006781
15328.823000,-0.330775,-0.509662,-0.064444,-0.816534,-3.008546,-0.006685
15328.825000,-0.330768,-0.509660,-0.064435,-0.816478,-3.008550,-0.006694
15328.825000,-0.330768,-0.509660,-0.064435,-0.816478,-3.008550,-0.006694
15328.829000,-0.330760,-0.509647,-0.064449,-0.816516,-3.008548,-0.006757
15328.831000,-0.330767,-0.509650,-0.064439,-0.816473,-3.008537,-0.006731
15328.833000,-0.330780,-0.509663,-0.064435,-0.816487,-3.008513,-0.006682
15328.835000,-0.330771,-0.509648,-0.064446,-0.816495,-3.008542,-0.006724
15328.837000,-0.330774,-0.509652,-0.064447,-0.816494,-3.008548,-0.006739
15328.839000,-0.330775,-0.509638,-0.064455,-0.816547,-3.008530,-0.006765
15328.841000,-0.330774,-0.509666,-0.064432,-0.816472,-3.008531,-0.006716
15328.843000,-0.330774,-0.509667,-0.064428,-0.816455,-3.008551,-0.006682
15328.845000,-0.330765,-0.509647,-0.064439,-0.816476,-3.008548,-0.006764
15328.847000,-0.330762,-0.509650,-0.064433,-0.816479,-3.008558,-0.006755
15328.849000,-0.330781,-0.509643,-0.064450,-0.816567,-3.008518,-0.006748
15328.851000,-0.330757,-0.509666,-0.064442,-0.816474,-3.008541,-0.006706
15328.855000,-0.330767,-0.509650,-0.064444,-0.816528,-3.008527,-0.006749
15328.857000,-0.330770,-0.509672,-0.064440,-0.816457,-3.008550,-0.006680
15328.859000,-0.330768,-0.509671,-0.064441,-0.816483,-3.008571,-0.006676
15328.861000,-0.330769,-0.509657,-0.064457,-0.816441,-3.008569,-0.006756
15328.863000,-0.330752,-0.509651,-0.064456,-0.816523,-3.008576,-0.006754
15328.865000,-0.330762,-0.509660,-0.064447,-0.816457,-3.008558,-0.006739
15328.867000,-0.330790,-0.509662,-0.064434,-0.816507,-3.008520,-0.006714
15328.869000,-0.330806,-0.509661,-0.064416,-0.816543,-3.008496,-0.006643
15328.871000,-0.330759,-0.509647,-0.064466,-0.816537,-3.008556,-0.006789
15328.873000,-0.330768,-0.509665,-0.064438,-0.816480,-3.008560,-0.006685
15328.875000,-0.330785,-0.509662,-0.064434,-0.816516,-3.008546,-0.006670
15328.877000,-0.330748,-0.509662,-0.064458,-0.816535,-3.008554,-0.006746
15328.879000,-0.330773,-0.509650,-0.064442,-0.816507,-3.008515,-0.006741
15328.881000,-0.330782,-0.509650,-0.064439,-0.816511,-3.008537,-0.006723
15328.883000,-0.330776,-0.509643,-0.064461,-0.816532,-3.008529,-0.006793
15328.885000,-0.330781,-0.509673,-0.064436,-0.816510,-3.008529,-0.006663
15328.887000,-0.330759,-0.509631,-0.064483,-0.816483,-3.008587,-0.006799
15328.889000,-0.330754,-0.509668,-0.064450,-0.816474,-3.008546,-0.006681
15328.891000,-0.330760,-0.509658,-0.064454,-0.816478,-3.008558,-0.006755
15328.895000,-0.330746,-0.509634,-0.064476,-0.816501,-3.008584,-0.006843
15328.897000,-0.330766,-0.509644,-0.064452,-0.816476,-3.008544,-0.006790
15328.899000,-0.330777,-0.509671,-0.064432,-0.816490,-3.008535,-0.006663
15328.901000,-0.330792,-0.509660,-0.064439,-0.816544,-3.008510,-0.006674
15328.905000,-0.330779,-0.509662,-0.064439,-0.816532,-3.008543,-0.006713
15328.909000,-0.330742,-0.509640,-0.064489,-0.816507,-3.008605,-0.006820
15328.911000,-0.330764,-0.509658,-0.064434,-0.816460,-3.008568,-0.006728
15328.913000,-0.330787,-0.509644,-0.064447,-0.816550,-3.008532,-0.006740
15328.921000,-0.330752,-0.509677,-0.064444,-0.816426,-3.008587,-0.006677
15328.923000,-0.330770,-0.509638,-0.064462,-0.816516,-3.008555,-0.006776
15328.929000,-0.330771,-0.509658,-0.064459,-0.816518,-3.008562,-0.006720
15328.935000,-0.330786,-0.509653,-0.064447,-0.816513,-3.008543,-0.006741
15328.937000,-0.330769,-0.509652,-0.064443,-0.816473,-3.008537,-0.006734
15328.939000,-0.330760,-0.509668,-0.064444,-0.816464,-3.008578,-0.006718
15328.941000,-0.330756,-0.509664,-0.064437,-0.816518,-3.008557,-0.006702
15328.943000,-0.330762,-0.509655,-0.064442,-0.816481,-3.008569,-0.006747
15328.945000,-0.330788,-0.509650,-0.064431,-0.816507,-3.008519,-0.006713
15328.947000,-0.330786,-0.509664,-0.064433,-0.816528,-3.008514,-0.006673
15328.949000,-0.330759,-0.509662,-0.064447,-0.816460,-3.008569,-0.006730
15328.951000,-0.330772,-0.509635,-0.064451,-0.816511,-3.008537,-0.006764
15328.953000,-0.330745,-0.509668,-0.064438,-0.816448,-3.008593,-0.006710
15328.955000,-0.330779,-0.509651,-0.064448,-0.816527,-3.008516,-0.006717
15328.957000,-0.330773,-0.509657,-0.064456,-0.816474,-3.008543,-0.006750
15328.959000,-0.330774,-0.509656,-0.064453,-0.816522,-3.008573,-0.006710
15328.961000,-0.330748,-0.509657,-0.064448,-0.816464,-3.008584,-0.006736
15328.963000,-0.330748,-0.509656,-0.064472,-0.816524,-3.008580,-0.006769
15328.965000,-0.330780,-0.509663,-0.064439,-0.816562,-3.008499,-0.006697
15328.967000,-0.330775,-0.509662,-0.064447,-0.816521,-3.008564,-0.006723
15328.969000,-0.330748,-0.509636,-0.064473,-0.816499,-3.008585,-0.006841
15328.971000,-0.330764,-0.509653,-0.064444,-0.816495,-3.008549,-0.006740
15328.973000,-0.330730,-0.509649,-0.064473,-0.816466,-3.008593,-0.006840
15328.975000,-0.330781,-0.509653,-0.064445,-0.816571,-3.008531,-0.006712
15328.977000,-0.330745,-0.509653,-0.064476,-0.816487,-3.008592,-0.006771
15328.979000,-0.330791,-0.509659,-0.064452,-0.816453,-3.008540,-0.006691
15328.981000,-0.330752,-0.509640,-0.064473,-0.816560,-3.008577,-0.006786
15328.985000,-0.330757,-0.509666,-0.064451,-0.816536,-3.008565,-0.006735
15328.987000,-0.330738,-0.509672,-0.064462,-0.816470,-3.008600,-0.006742
15328.989000,-0.330779,-0.509651,-0.064463,-0.816492,-3.008542,-0.006765
15328.991000,-0.330772,-0.509649,-0.064461,-0.816559,-3.008565,-0.006753
15328.993000,-0.330749,-0.509646,-0.064472,-0.816450,-3.008600,-0.006771
15328.995000,-0.330768,-0.509651,-0.064451,-0.816540,-3.008575,-0.006726
15328.999000,-0.330775,-0.509669,-0.064437,-0.816444,-3.008509,-0.006718
15329.001000,-0.330753,-0.509630,-0.064464,-0.816602,-3.008579,-0.006819
15329.005000,-0.330754,-0.509652,-0.064449,-0.816484,-3.008580,-0.006738
15329.007000,-0.330763,-0.509651,-0.064451,-0.816440,-3.008569,-0.006755
15329.011000,-0.330764,-0.509657,-0.064447,-0.816456,-3.008548,-0.006750
15329.013000,-0.330754,-0.509655,-0.064452,-0.816562,-3.008575,-0.006743
15329.015000,-0.330764,-0.509672,-0.064443,-0.816498,-3.008551,-0.006669
15329.017000,-0.330758,-0.509651,-0.064439,-0.816439,-3.008559,-0.006767
15329.019000,-0.330757,-0.509664,-0.064437,-0.816486,-3.008588,-0.006686
15329.021000,-0.330778,-0.509666,-0.064440,-0.816510,-3.008524,-0.006690
15329.023000,-0.330773,-0.509656,-0.064443,-0.816510,-3.008532,-0.006749
15329.025000,-0.330753,-0.509641,-0.064464,-0.816463,-3.008581,-0.006806
15329.027000,-0.330761,-0.509655,-0.064455,-0.816535,-3.008559,-0.006762
15329.029000,-0.330758,-0.509636,-0.064478,-0.816503,-3.008578,-0.006822
15329.031000,-0.330783,-0.509666,-0.064436,-0.816508,-3.008514,-0.006698
15329.033000,-0.330777,-0.509659,-0.064443,-0.816533,-3.008542,-0.006715
15329.035000,-0.330780,-0.509668,-0.064450,-0.816553,-3.008542,-0.006686
15329.037000,-0.330782,-0.509660,-0.064436,-0.816409,-3.008525,-0.006693
15329.039000,-0.330770,-0.509658,-0.064444,-0.816475,-3.008553,-0.006741
15329.043000,-0.330767,-0.509649,-0.064445,-0.816534,-3.008554,-0.006746
15329.045000,-0.330791,-0.509658,-0.064435,-0.816533,-3.008541,-0.006673
15329.047000,-0.330766,-0.509658,-0.064447,-0.816480,-3.008563,-0.006730
15329.049000,-0.330789,-0.509672,-0.064438,-0.816469,-3.008519,-0.006680
15329.051000,-0.330775,-0.509648,-0.064450,-0.816533,-3.008548,-0.006729
15329.053000,-0.330793,-0.509645,-0.064431,-0.816562,-3.008506,-0.006716
15329.055000,-0.330759,-0.509663,-0.064453,-0.816478,-3.008563,-0.006729
15329.057000,-0.330769,-0.509633,-0.064467,-0.816564,-3.008522,-0.006833
15329.059000,-0.330789,-0.509676,-0.064421,-0.816549,-3.008518,-0.006618
15329.061000,-0.330783,-0.509666,-0.064433,-0.816529,-3.008525,-0.006664
15329.063000,-0.330779,-0.509671,-0.064433,-0.816516,-3.008551,-0.006646
15329.065000,-0.330757,-0.509650,-0.064458,-0.816545,-3.008596,-0.006709
15329.067000,-0.330768,-0.509666,-0.064438,-0.816497,-3.008556,-0.006686
15329.069000,-0.330771,-0.509670,-0.064435,-0.816452,-3.008533,-0.006671
15329.071000,-0.330765,-0.509654,-0.064460,-0.816491,-3.008532,-0.006774
15329.073000,-0.330775,-0.509663,-0.064441,-0.816490,-3.008536,-0.006706
15329.077000,-0.330777,-0.509649,-0.064442,-0.816510,-3.008525,-0.006731
15329.077000,-0.330777,-0.509649,-0.064442,-0.816510,-3.008525,-0.006731
15329.081000,-0.330743,-0.509631,-0.064476,-0.816524,-3.008591,-0.006874
15329.083000,-0.330775,-0.509657,-0.064443,-0.816497,-3.008557,-0.006729
15329.085000,-0.330786,-0.509669,-0.064433,-0.816507,-3.008513,-0.006697
15329.087000,-0.330771,-0.509665,-0.064453,-0.816515,-3.008553,-0.006729
15329.089000,-0.330770,-0.509663,-0.064443,-0.816478,-3.008558,-0.006715
15329.091000,-0.330790,-0.509662,-0.064431,-0.816569,-3.008521,-0.006681
15329.093000,-0.330753,-0.509636,-0.064485,-0.816580,-3.008575,-0.006831
15329.095000,-0.330753,-0.509650,-0.064459,-0.816481,-3.008570,-0.006788
15329.097000,-0.330750,-0.509653,-0.064467,-0.816426,-3.008596,-0.006782
15329.099000,-0.330758,-0.509652,-0.064453,-0.816492,-3.008538,-0.006750
15329.101000,-0.330770,-0.509638,-0.064465,-0.816511,-3.008540,-0.006808
15329.103000,-0.330755,-0.509662,-0.064448,-0.816540,-3.008563,-0.006735
15329.105000,-0.330777,-0.509655,-0.064445,-0.816530,-3.008531,-0.006719
15329.107000,-0.330790,-0.509643,-0.064439,-0.816466,-3.008516,-0.006751
15329.109000,-0.330782,-0.509664,-0.064438,-0.816532,-3.008536,-0.006698
15329.111000,-0.330770,-0.509653,-0.064442,-0.816472,-3.008535,-0.006730
15329.113000,-0.330757,-0.509655,-0.064449,-0.816516,-3.008554,-0.006772
15329.117000,-0.330765,-0.509648,-0.064453,-0.816436,-3.008553,-0.006750
15329.119000,-0.330782,-0.509644,-0.064458,-0.816515,-3.008545,-0.006782
15329.121000,-0.330792,-0.509649,-0.064442,-0.816568,-3.008523,-0.006722
15329.123000,-0.330758,-0.509666,-0.064445,-0.816474,-3.008546,-0.006721
15329.125000,-0.330761,-0.509654,-0.064444,-0.816493,-3.008537,-0.006749
15329.129000,-0.330781,-0.509653,-0.064450,-0.816515,-3.008553,-0.006731
15329.131000,-0.330769,-0.509657,-0.064470,-0.816559,-3.008565,-0.006752
15329.133000,-0.330766,-0.509669,-0.064453,-0.816501,-3.008579,-0.006712
15329.135000,-0.330785,-0.509662,-0.064439,-0.816509,-3.008524,-0.006687
15329.137000,-0.330766,-0.509633,-0.064460,-0.816524,-3.008582,-0.006771
15329.139000,-0.330780,-0.509661,-0.064441,-0.816533,-3.008535,-0.006696
15329.141000,-0.330757,-0.509655,-0.064457,-0.816477,-3.008559,-0.006755
15329.143000,-0.330766,-0.509653,-0.064449,-0.816495,-3.008546,-0.006739
15329.145000,-0.330790,-0.509631,-0.064452,-0.816565,-3.008517,-0.006752
15329.147000,-0.330755,-0.509643,-0.064458,-0.816535,-3.008557,-0.006791
15329.149000,-0.330786,-0.509623,-0.064467,-0.816568,-3.008531,-0.006825
15329.151000,-0.330782,-0.509664,-0.064438,-0.816498,-3.008546,-0.006697
15329.153000,-0.330753,-0.509658,-0.064446,-0.816471,-3.008538,-0.006733
15329.155000,-0.330790,-0.509648,-0.064432,-0.816567,-3.008515,-0.006706
15329.157000,-0.330764,-0.509662,-0.064431,-0.816514,-3.008542,-0.006737
15329.159000,-0.330781,-0.509658,-0.064445,-0.816534,-3.008547,-0.006687
15329.161000,-0.330783,-0.509640,-0.064448,-0.816527,-3.008524,-0.006778
15329.163000,-0.330786,-0.509659,-0.064435,-0.816467,-3.008519,-0.006681
15329.165000,-0.330777,-0.509680,-0.064426,-0.816475,-3.008539,-0.006661
15329.167000,-0.330761,-0.509653,-0.064446,-0.816522,-3.008580,-0.006730
15329.169000,-0.330764,-0.509652,-0.064446,-0.816455,-3.008549,-0.006794
15329.171000,-0.330767,-0.509666,-0.064444,-0.816440,-3.008572,-0.006686
15329.173000,-0.330776,-0.509653,-0.064453,-0.816505,-3.008509,-0.006726
15329.175000,-0.330751,-0.509644,-0.064470,-0.816489,-3.008587,-0.006798
15329.177000,-0.330759,-0.509658,-0.064450,-0.816514,-3.008543,-0.006737
15329.179000,-0.330758,-0.509640,-0.064477,-0.816502,-3.008582,-0.006798
15329.181000,-0.330759,-0.509652,-0.064458,-0.816480,-3.008575,-0.006761
15329.183000,-0.330800,-0.509657,-0.064429,-0.816556,-3.008485,-0.006692
15329.187000,-0.330781,-0.509643,-0.064453,-0.816571,-3.008530,-0.006783
15329.187000,-0.330781,-0.509643,-0.064453,-0.816571,-3.008530,-0.006783
15329.191000,-0.330767,-0.509650,-0.064467,-0.816513,-3.008544,-0.006782
15329.193000,-0.330763,-0.509667,-0.064442,-0.816435,-3.008547,-0.006732
15329.195000,-0.330791,-0.509648,-0.064437,-0.816505,-3.008509,-0.006722
15329.197000,-0.330763,-0.509650,-0.064458,-0.816524,-3.008575,-0.006750
15329.199000,-0.330753,-0.509631,-0.064477,-0.816520,-3.008572,-0.006820
15329.201000,-0.330756,-0.509650,-0.064459,-0.816532,-3.008540,-0.006783
15329.203000,-0.330760,-0.509648,-0.064454,-0.816476,-3.008559,-0.006756
15329.205000,-0.330777,-0.509664,-0.064443,-0.816493,-3.008548,-0.006738
15329.207000,-0.330771,-0.509659,-0.064437,-0.816470,-3.008526,-0.006743
