Lap Nr,Roi1,Roi1_x,Roi1_y,Roi1_center_x,Roi1_center_y
247,,427,7,435.0,14.0
248,,487,3,494.0,9.0
249,,557,3,565.0,11.0
250,,625,11,634.0,19.0
251,,687,27,698.0,36.0
252,,743,49,754.0,60.0
253,,783,75,793.0,86.0
254,,815,105,827.0,119.0
255,,831,141,842.0,156.0
256,,825,183,837.0,198.0
257,,785,227,801.0,243.0
258,,741,263,757.0,277.0
259,,0,0,0.0,0.0
260,,545,321,562.0,331.0
261,,425,325,442.0,335.0
262,,333,315,350.0,326.0
263,,239,285,255.0,297.0
264,,175,239,189.0,255.0
265,,143,187,155.0,206.0
266,,145,143,156.0,160.0
267,,163,113,174.0,127.0
268,,205,77,216.0,88.0
269,,263,49,272.0,56.0
270,,333,27,339.0,33.0
271,,409,9,414.0,16.0
272,,471,3,479.0,10.0
273,,549,3,557.0,10.0
274,,625,11,634.0,19.0
275,,693,29,704.0,38.0
276,,741,49,752.0,59.0
277,,793,82,804.0,93.5
278,,825,117,836.0,132.0
279,,831,161,842.0,176.0
280,,807,207,822.0,223.0
281,,763,249,779.0,263.0
282,,677,293,695.0,303.0
283,,567,319,584.0,329.0
284,,439,327,456.0,337.0
285,,315,313,334.0,324.0
286,,237,287,254.0,300.0
287,,171,237,185.0,253.0
288,,143,183,154.0,201.0
289,,147,138,158.0,154.5
290,,171,105,184.0,116.0
291,,225,63,234.0,73.0
292,,291,39,300.0,45.0
293,,373,21,378.0,25.0
294,,457,5,465.0,12.0
295,,527,3,534.0,9.0
296,,611,9,619.0,17.0
297,,687,29,697.0,37.0
298,,749,57,762.0,66.0
299,,803,91,814.0,103.0
300,,827,123,839.0,138.0
301,,827,171,839.0,188.0
302,,793,225,808.0,242.0
303,,715,277,733.0,291.0
304,,627,311,645.0,321.0
305,,491,329,509.0,338.0
306,,349,321,368.0,331.0
307,,235,287,253.0,299.0
308,,151,229,173.0,247.0
309,,141,185,153.0,203.0
310,,147,137,158.0,151.0
311,,189,91,201.0,102.0
312,,249,51,259.0,60.0
313,,335,29,341.0,33.0
314,,411,15,414.0,19.0
315,,501,7,508.0,11.0
316,,591,7,600.0,14.0
317,,675,27,686.0,34.0
318,,737,47,748.5,57.0
319,,795,86,807.0,97.5
320,,831,131,842.0,147.0
321,,823,185,836.0,202.0
322,,769,245,786.0,260.5
323,,689,291,710.0,302.0
324,,559,325,577.0,334.0
325,,401,329,420.0,338.0
326,,265,301,283.0,313.0
327,,159,241,181.0,260.0
328,,139,195,151.0,214.0
329,,139,143,150.0,158.0
330,,181,95,193.0,105.0
331,,249,51,258.0,59.0
332,,323,31,329.0,35.0
333,,423,13,427.0,17.0
334,,523,9,527.0,12.5
335,,619,15,627.0,21.0
336,,703,36,713.0,45.5
337,,761,67,773.0,76.0
338,,815,109,827.0,123.0
339,,831,163,842.0,179.0
340,,795,224,810.0,241.5
341,,721,277,738.0,289.0
342,,651,305,668.0,317.0
343,,561,321,577.0,333.0
344,,483,325,499.0,338.0
345,,425,323,440.0,337.0
346,,393,319,409.0,334.0
347,,369,319,385.0,333.0
348,,361,317,377.0,332.0
349,,363,317,379.0,332.0
350,,363,317,379.0,332.0
351,,363,317,379.0,332.0
352,,363,317,379.0,332.0
353,,363,317,379.0,332.0
354,,361,317,378.0,332.0
355,,361,317,377.0,332.0
356,,363,317,378.0,332.0
357,,363,317,379.0,332.0
358,,363,317,379.0,332.0
359,,363,317,378.0,332.0
360,,363,317,378.0,332.0
361,,361,317,377.5,332.0
362,,361,317,377.0,332.0
363,,363,317,378.0,332.0
364,,361,317,377.5,332.0
365,,363,317,378.0,332.0
366,,361,317,377.0,332.0
367,,361,317,377.0,332.0
368,,361,317,377.0,332.0
369,,361,317,377.0,332.0
370,,361,317,377.0,332.0
371,,361,317,377.0,332.0
372,,363,317,378.0,332.0
373,,363,317,378.0,332.0
374,,363,317,379.0,332.0
375,,363,317,379.0,332.0
376,,361,317,377.0,332.0
377,,361,317,377.0,332.0
378,,361,317,377.0,332.0
379,,361,317,377.0,332.0
380,,363,317,379.0,332.0
381,,363,317,379.0,332.0
382,,363,317,379.0,332.0
383,,361,317,377.0,332.0
384,,363,317,378.0,332.0
385,,363,317,378.0,332.0
386,,361,317,378.0,332.0
387,,363,317,379.0,332.0
