Lap Nr,Roi1,Roi1_x,Roi1_y,Roi1_w,Roi1_h
1165,,0,0,418,40
1166,,0,0,418,40
1167,,0,0,418,40
1168,,0,0,418,42
1169,,37,0,381,50
1170,,37,0,381,53
1171,,38,0,349,57
1172,,179,0,206,57
1173,,179,9,102,51
1174,,180,18,101,45
1175,,181,21,100,44
1176,,180,23,101,44
1177,,181,25,100,44
1178,,284,26,99,43
1179,,284,27,99,42
1180,,284,29,101,40
1181,,285,26,133,43
1182,,285,26,133,43
1183,,285,26,133,43
1184,,285,26,133,43
1185,,284,26,134,43
1186,,283,25,135,44
1187,,283,25,135,43
1188,,180,25,101,44
1189,,180,23,101,44
1190,,180,21,101,44
1191,,180,18,101,44
1192,,179,9,204,50
1193,,72,0,314,56
1194,,37,0,350,53
1195,,37,0,381,50
1196,,0,0,418,46
1197,,37,0,351,42
1198,,170,0,248,36
1199,,0,0,418,40
1200,,0,0,418,40
1201,,0,0,418,40
1202,,0,17,418,23
1203,,0,17,418,23
1204,,0,17,418,23
1205,,0,17,418,23
1206,,0,17,418,23
1207,,0,16,418,25
1208,,0,16,418,24
1209,,0,16,418,24
1210,,0,16,418,24
1211,,0,16,418,24
1212,,0,16,418,25
1213,,0,16,418,25
1214,,0,16,418,25
1215,,0,17,418,23
1216,,0,16,418,25
1217,,0,17,418,23
1218,,0,17,418,23
1219,,0,17,418,23
1220,,0,17,418,23
1221,,0,17,418,23
1222,,0,17,418,23
1223,,0,17,418,23
1224,,0,17,418,23
1225,,0,16,418,24
1226,,0,16,418,24
1227,,0,17,418,23
1228,,0,16,418,24
1229,,0,16,418,25
1230,,0,17,418,24
1231,,0,17,418,24
1232,,0,16,418,24
1233,,0,17,418,23
1234,,0,16,418,24
1235,,0,16,418,25
1236,,0,16,418,25
1237,,0,16,418,25
1238,,0,16,418,25
1239,,0,16,418,24
1240,,0,17,418,23
1241,,0,17,418,23
1242,,0,17,418,23
1243,,0,17,418,23
1244,,0,17,418,23
1245,,0,17,418,23
1246,,0,17,418,23
1247,,0,17,418,23
1248,,0,17,418,23
1249,,0,17,418,23
1250,,0,17,418,23
1251,,0,17,418,23
1252,,0,17,418,23
